Restaurant_ID,Restaurant_Name,City,Area,Restaurant_Type,Cuisine,Restaurant_Rating,Review_Count,Price_Range,Source_URL,Source_System,Source_Record_ID,Fetch_Time,Match_Confidence,Latitude,Longitude
R0011,Special Kathiyawadi,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,4.5,27.0,₹300 for two,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,kathiyawadi_seed_workbook,seed_R011,2026-09-11T16:26:46.117098+00:00,100.0,23.035,72.528
R0012,Khodal Kathiyawadi ,Ahmedabad,Gota,Pure Veg Restaurant,Kathiyawadi,3.9,3455.0,₹200-400 for two, https://www.justdial.com/Ahmedabad/search?q=Khodal-Kathiyawadi-Gota&stype=company_list,kathiyawadi_seed_workbook,seed_R012,2026-09-11T16:26:46.117098+00:00,100.0,23.103,72.535
R0013,Varudi Khodiyar Kathiyawadi,Ahmedabad,Ognaj,Pure Veg Restaurant,Kathiyawadi,3.3,60.0,₹300 for two,https://www.zomato.com/ahmedabad/shree-varudi-khodiyar-gota,kathiyawadi_seed_workbook,seed_R013,2026-09-11T16:26:46.117098+00:00,100.0,23.09,72.502
R0014,Gurudev Kathiyawadi ,Ahmedabad,Bodakdev,Pure Veg Restaurant,Kathiyawadi,3.8,9.0,₹150 for two,https://www.zomato.com/ahmedabad/gurudev-kathiyawadi-restaurant-bodakdev,kathiyawadi_seed_workbook,seed_R014,2026-09-11T16:26:46.117098+00:00,100.0,23.038,72.518
R0015,Bajaro Kathiyawadi,Ahmedabad,Ahmedabad,Pure Veg Restaurant,Kathiyawadi,4.8,520.0,₹200for two,https://www.justdial.com/Ahmedabad/Bajaro-Kathiyawadi-Restaurant-Ahmedabad/079PXX79-XX79-230914150619-R9I7_BZDET,kathiyawadi_seed_workbook,seed_R015,2026-09-11T16:26:46.117098+00:00,100.0,23.0225,72.5714
R0016,Maher Kathiyawadi,Ahmedabad,Asarwa,Pure Veg Restaurant,Kathiyawadi,4.3,89.0,₹450for two,https://www.zomato.com/ahmedabad/maher-kathiyawadi-shahibagh/menu,kathiyawadi_seed_workbook,seed_R016,2026-09-11T16:26:46.117098+00:00,100.0,23.048,72.605
R0017,Kismat Kathiyawadi,Ahmedabad,Gota,Pure Veg Restaurant,Kathiyawadi,4.1,1219.0,₹200for two,https://www.justdial.com/Ahmedabad/Kismat-Kathiyawadi-Gota/079PXX79-XX79-210118182241-I6K9_BZDET,kathiyawadi_seed_workbook,seed_R017,2026-09-11T16:26:46.117098+00:00,100.0,23.103,72.535
R0018,Vrundavan Restaurant;AKHBAR NAGAR CIRCLE,Ahmedabad,Akhbar Nagar,Pure Veg Restaurant,"Punjabi,_SouthIndia,_Gujarati Thali.",4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/2477174077,openstreetmap_overpass,osm_node_2477174077,2026-09-11T16:26:46.117098+00:00,100.0,23.0674245,72.5645716
R0019,Ken's Koffee Plus Plus,Ahmedabad,NH8C,Pure Veg Restaurant,Gujarati,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/2679948361,openstreetmap_overpass,osm_node_2679948361,2026-09-11T16:26:46.117098+00:00,100.0,23.1964319,72.6328106
R0020,purohit,Ahmedabad,Navrangpura,Pure Veg Restaurant,Gujarati / Kathiyawadi,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/3776238979,openstreetmap_overpass,osm_node_3776238979,2026-09-11T16:26:46.117098+00:00,100.0,23.0342345,72.5610096
R0021,Hotel Purohit Por,Ahmedabad,Odhav,Pure Veg Restaurant,indian,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/5177688241,openstreetmap_overpass,osm_node_5177688241,2026-09-11T16:26:46.117098+00:00,100.0,22.9945198,72.665834
R0022,Jai Jalaram Parontha House,Ahmedabad,Ashram Road,Pure Veg Restaurant,gujarati;kathiawari;punjabi,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/5527662483,openstreetmap_overpass,osm_node_5527662483,2026-09-11T16:26:46.117098+00:00,100.0,23.0246356,72.5714777
R0023,Swati Snacks,Ahmedabad,Ashram Road,Pure Veg Restaurant,gujarati;regional,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/8548483880,openstreetmap_overpass,osm_node_8548483880,2026-09-11T16:26:46.117098+00:00,100.0,23.0244466,72.5589826
R0024,Gordhan Thal,Ahmedabad,"Shapath Tower Ground Floor Sarkhej Gandhi Nagar Highway, Near State Bank Of India, Thaltej",Pure Veg Restaurant,gujarati;regional;indian,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/9123477265,openstreetmap_overpass,osm_node_9123477265,2026-09-11T16:26:46.117098+00:00,100.0,23.0359596,72.5111196
R0025,Purohit Chavana and Sweet Mart,Ahmedabad,Shela,Pure Veg Restaurant,Gujarati / Kathiyawadi,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/9310325493,openstreetmap_overpass,osm_node_9310325493,2026-09-11T16:26:46.117098+00:00,100.0,23.0182853,72.4716006
R0026,Sakha Surti Locho & Rasawala Khaman,Ahmedabad,Isanpur,Pure Veg Restaurant,indian,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/11539673209,openstreetmap_overpass,osm_node_11539673209,2026-09-11T16:26:46.117098+00:00,100.0,22.9782788,72.6106967
R0027,Gujarat Hotel (Gujarat Dhaba) ગુજરાત હોટલ ગુજરાત ઢાબા,Ahmedabad,Naroda,Dhaba,Gujarati / Kathiyawadi,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/node/14090334447,openstreetmap_overpass,osm_node_14090334447,2026-09-11T16:26:46.117098+00:00,100.0,23.1826079,72.6829507
R0028,Kathiyawadi,Ahmedabad,Nikol-Nava Naroda road,Pure Veg Restaurant,Kathiyawadi,4.2,45.0,₹250-400 for two,https://www.openstreetmap.org/way/451514771,openstreetmap_overpass,osm_way_451514771,2026-09-11T16:26:46.117098+00:00,100.0,23.0581169,72.6719773
