Restaurant_Name,City,Area,Restaurant_Type,Cuisine,Restaurant_Rating,Review_Count,Price_Range,Dish_Name,Price,Portion_Size,Serving_Unit,Menu_Type,Source_URL
Sasumaa Gujarati & Kathiyawadi,Gandhinagar,Sector 16,Casual Dining,Gujarati / Kathiyawadi,4.5,2100,₹500 for two,Unlimited Kathiyawadi Thali,260,Unlimited,Thali,Full Meal,https://www.zomato.com/gandhinagar/sasumaa-sector-16
Sasumaa Gujarati & Kathiyawadi,Gandhinagar,Sector 16,Casual Dining,Gujarati / Kathiyawadi,4.5,2100,₹500 for two,Ringan No Oro,170,Regular,Bowl,Main Course,https://www.zomato.com/gandhinagar/sasumaa-sector-16
Sasumaa Gujarati & Kathiyawadi,Gandhinagar,Sector 16,Casual Dining,Gujarati / Kathiyawadi,4.5,2100,₹500 for two,Makhan Bajra Rotlo,60,Regular,Piece,Breads,https://www.zomato.com/gandhinagar/sasumaa-sector-16
Shree Chamunda Kathiyawadi Dhaba,Gandhinagar,Infocity,Dhaba,Kathiyawadi,4.2,430,₹250 for two,Kathiyawadi Thali,170,Regular,Thali,Full Meal,https://www.swiggy.com/city/gandhinagar/shree-chamunda-dhaba-infocity
Shree Chamunda Kathiyawadi Dhaba,Gandhinagar,Infocity,Dhaba,Kathiyawadi,4.2,430,₹250 for two,Sev Dungri,130,Regular,Bowl,Main Course,https://www.swiggy.com/city/gandhinagar/shree-chamunda-dhaba-infocity
Shree Chamunda Kathiyawadi Dhaba,Gandhinagar,Infocity,Dhaba,Kathiyawadi,4.2,430,₹250 for two,Chaas Bottle,30,500ml,Bottle,Beverage,https://www.swiggy.com/city/gandhinagar/shree-chamunda-dhaba-infocity
Shree Khodiyar Kathiyawadi Dhaba,Gandhinagar,PDPU Road,Dhaba,Kathiyawadi,4.3,780,₹300 for two,Sev Tameta,150,Regular,Bowl,Main Course,https://www.zomato.com/gandhinagar/shree-khodiyar-kathiyawadi-pdpu-road
Shree Khodiyar Kathiyawadi Dhaba,Gandhinagar,PDPU Road,Dhaba,Kathiyawadi,4.3,780,₹300 for two,Ringan No Oro,160,Regular,Bowl,Main Course,https://www.zomato.com/gandhinagar/shree-khodiyar-kathiyawadi-pdpu-road
Shree Khodiyar Kathiyawadi Dhaba,Gandhinagar,PDPU Road,Dhaba,Kathiyawadi,4.3,780,₹300 for two,Bajra No Rotlo,45,Regular,Piece,Breads,https://www.zomato.com/gandhinagar/shree-khodiyar-kathiyawadi-pdpu-road
Atithi Dining Hall,Ahmedabad,Bodakdev,Fine Dining,Gujarati / Kathiyawadi,4.7,4890,₹650 for two,Royal Kathiyawadi Thali,320,Unlimited,Thali,Full Meal,https://www.swiggy.com/city/ahmedabad/atithi-dining-hall-bodakdev
Atithi Dining Hall,Ahmedabad,Bodakdev,Fine Dining,Gujarati / Kathiyawadi,4.7,4890,₹650 for two,Special Ringan Oro,190,Regular,Bowl,Main Course,https://www.swiggy.com/city/ahmedabad/atithi-dining-hall-bodakdev
Atithi Dining Hall,Ahmedabad,Bodakdev,Fine Dining,Gujarati / Kathiyawadi,4.7,4890,₹650 for two,Vaghareli Khichdi Kadhi,180,Regular,Bowl,Main Course,https://www.swiggy.com/city/ahmedabad/atithi-dining-hall-bodakdev
Grand Morbi Kathiyawadi,Ahmedabad,Bopal,Pure Veg Restaurant,Kathiyawadi,4.4,1420,₹400 for two,Kathiyawadi Fixed Thali,210,Regular,Thali,Full Meal,https://www.swiggy.com/city/ahmedabad/grand-morbi-kathiyawadi-bopal
Grand Morbi Kathiyawadi,Ahmedabad,Bopal,Pure Veg Restaurant,Kathiyawadi,4.4,1420,₹400 for two,Lasaniya Bataka,160,Regular,Bowl,Main Course,https://www.swiggy.com/city/ahmedabad/grand-morbi-kathiyawadi-bopal
Grand Morbi Kathiyawadi,Ahmedabad,Bopal,Pure Veg Restaurant,Kathiyawadi,4.4,1420,₹400 for two,Sev Tameta,160,Regular,Bowl,Main Course,https://www.swiggy.com/city/ahmedabad/grand-morbi-kathiyawadi-bopal
Grand Morbi Kathiyawadi,Ahmedabad,Bopal,Pure Veg Restaurant,Kathiyawadi,4.4,1420,₹400 for two,Ghee Gud Bajra Rotlo,70,Regular,Piece,Breads,https://www.swiggy.com/city/ahmedabad/grand-morbi-kathiyawadi-bopal
Gopi Dining Hall,Ahmedabad,Ashram Road,Casual Dining,Gujarati / Kathiyawadi,4.5,3200,₹550 for two,Executive Kathiyawadi Thali,270,Regular,Thali,Full Meal,https://www.zomato.com/ahmedabad/gopi-dining-hall-ashram-road
Gopi Dining Hall,Ahmedabad,Ashram Road,Casual Dining,Gujarati / Kathiyawadi,4.5,3200,₹550 for two,Ringan No Oro,180,Regular,Bowl,Main Course,https://www.zomato.com/ahmedabad/gopi-dining-hall-ashram-road
Gopi Dining Hall,Ahmedabad,Ashram Road,Casual Dining,Gujarati / Kathiyawadi,4.5,3200,₹550 for two,Masala Chaas,35,Glass,Glass,Beverage,https://www.zomato.com/ahmedabad/gopi-dining-hall-ashram-road
Pakwan Dining Hall,Ahmedabad,Satellite,Casual Dining,Gujarati / Kathiyawadi,4.6,5600,₹600 for two,Traditional Gujarati Kathiyawadi Thali,290,Unlimited,Thali,Full Meal,https://www.swiggy.com/city/ahmedabad/pakwan-dining-hall-satellite
Pakwan Dining Hall,Ahmedabad,Satellite,Casual Dining,Gujarati / Kathiyawadi,4.6,5600,₹600 for two,Sev Tameta Nu Shaak,175,Regular,Bowl,Main Course,https://www.swiggy.com/city/ahmedabad/pakwan-dining-hall-satellite
Pakwan Dining Hall,Ahmedabad,Satellite,Casual Dining,Gujarati / Kathiyawadi,4.6,5600,₹600 for two,Bajra Rotla Makhan,65,Regular,Piece,Breads,https://www.swiggy.com/city/ahmedabad/pakwan-dining-hall-satellite
