Restaurant_ID,Restaurant_Name,City,Area,Restaurant_Type,Cuisine,Restaurant_Rating,Review_Count,Price_Range,Source_URL,Source_System,Source_Record_ID,Fetch_Time,Match_Confidence,Latitude,Longitude
R0011,Special Kathiyawadi,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,4.5,27.0,₹300 for two,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,kathiyawadi_seed_workbook,seed_R011,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.528
R0012,Khodal Kathiyawadi ,Ahmedabad,Gota,Pure Veg Restaurant,Kathiyawadi,3.9,3455.0,₹200-400 for two, https://www.justdial.com/Ahmedabad/search?q=Khodal-Kathiyawadi-Gota&stype=company_list,kathiyawadi_seed_workbook,seed_R012,2026-09-21T17:55:48.311016+00:00,100.0,23.103,72.535
R0013,Varudi Khodiyar Kathiyawadi,Ahmedabad,Ognaj,Pure Veg Restaurant,Kathiyawadi,3.3,60.0,₹300 for two,https://www.zomato.com/ahmedabad/shree-varudi-khodiyar-gota,kathiyawadi_seed_workbook,seed_R013,2026-09-21T17:55:48.311016+00:00,100.0,23.09,72.502
R0014,Gurudev Kathiyawadi ,Ahmedabad,Bodakdev,Pure Veg Restaurant,Kathiyawadi,3.8,9.0,₹150 for two,https://www.zomato.com/ahmedabad/gurudev-kathiyawadi-restaurant-bodakdev,kathiyawadi_seed_workbook,seed_R014,2026-09-21T17:55:48.311016+00:00,100.0,23.038,72.518
R0015,Bajaro Kathiyawadi,Ahmedabad,Ahmedabad,Pure Veg Restaurant,Kathiyawadi,4.8,520.0,₹200for two,https://www.justdial.com/Ahmedabad/Bajaro-Kathiyawadi-Restaurant-Ahmedabad/079PXX79-XX79-230914150619-R9I7_BZDET,kathiyawadi_seed_workbook,seed_R015,2026-09-21T17:55:48.311016+00:00,100.0,23.0225,72.5714
R0016,Maher Kathiyawadi,Ahmedabad,Asarwa,Pure Veg Restaurant,Kathiyawadi,4.3,89.0,₹450for two,https://www.zomato.com/ahmedabad/maher-kathiyawadi-shahibagh/menu,kathiyawadi_seed_workbook,seed_R016,2026-09-21T17:55:48.311016+00:00,100.0,23.048,72.605
R0017,Kismat Kathiyawadi,Ahmedabad,Gota,Pure Veg Restaurant,Kathiyawadi,4.1,1219.0,₹200for two,https://www.justdial.com/Ahmedabad/Kismat-Kathiyawadi-Gota/079PXX79-XX79-210118182241-I6K9_BZDET,kathiyawadi_seed_workbook,seed_R017,2026-09-21T17:55:48.311016+00:00,100.0,23.103,72.535
R0018,Radhe Kathiyawadi Dhaba,Gandhinagar,Kudasan,Dhaba,Kathiyawadi,4.4,620.0,₹300 for two,https://www.swiggy.com/city/gandhinagar/radhe-kathiyawadi-dhaba-kudasan,external_menu_csv,external_radhe_kathiyawadi_dhaba,2026-09-21T17:55:48.311016+00:00,100.0,23.172,72.631
R0019,Toran Dining Hall,Gandhinagar,Sector 11,Casual Dining,Kathiyawadi,4.6,1840.0,₹550 for two,https://www.zomato.com/gandhinagar/toran-dining-hall-sector-11,external_menu_csv,external_toran_dining_hall,2026-09-21T17:55:48.311016+00:00,100.0,23.223,72.65
R0020,Tulsi Kathiyawadi Restaurant,Gandhinagar,Sargasan,Pure Veg Restaurant,Kathiyawadi,4.3,950.0,₹350 for two,https://www.swiggy.com/city/gandhinagar/tulsi-kathiyawadi-sargasan,external_menu_csv,external_tulsi_kathiyawadi_restaurant,2026-09-21T17:55:48.311016+00:00,100.0,23.185,72.61
R0021,Sasumaa Gujarati & Kathiyawadi,Gandhinagar,Sector 16,Casual Dining,Kathiyawadi,4.5,2100.0,₹500 for two,https://www.zomato.com/gandhinagar/sasumaa-sector-16,external_menu_csv,external_sasumaa_gujarati_&_kathiyawadi,2026-09-21T17:55:48.311016+00:00,100.0,23.232,72.655
R0022,Shree Chamunda Kathiyawadi Dhaba,Gandhinagar,Infocity,Dhaba,Kathiyawadi,4.2,430.0,₹250 for two,https://www.swiggy.com/city/gandhinagar/shree-chamunda-dhaba-infocity,external_menu_csv,external_shree_chamunda_kathiyawadi_dhaba,2026-09-21T17:55:48.311016+00:00,100.0,23.191,72.634
R0023,Shree Khodiyar Kathiyawadi Dhaba,Gandhinagar,Pdpu Road,Dhaba,Kathiyawadi,4.3,780.0,₹300 for two,https://www.zomato.com/gandhinagar/shree-khodiyar-kathiyawadi-pdpu-road,external_menu_csv,external_shree_khodiyar_kathiyawadi_dhaba,2026-09-21T17:55:48.311016+00:00,100.0,23.158,72.654
R0024,Atithi Dining Hall,Ahmedabad,Bodakdev,Fine Dining,Kathiyawadi,4.7,4890.0,₹650 for two,https://www.swiggy.com/city/ahmedabad/atithi-dining-hall-bodakdev,external_menu_csv,external_atithi_dining_hall,2026-09-21T17:55:48.311016+00:00,100.0,23.038,72.518
R0025,Grand Morbi Kathiyawadi,Ahmedabad,Bopal,Pure Veg Restaurant,Kathiyawadi,4.4,1420.0,₹400 for two,https://www.swiggy.com/city/ahmedabad/grand-morbi-kathiyawadi-bopal,external_menu_csv,external_grand_morbi_kathiyawadi,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.46
R0026,Gopi Dining Hall,Ahmedabad,Ashram Road,Casual Dining,Kathiyawadi,4.5,3200.0,₹550 for two,https://www.zomato.com/ahmedabad/gopi-dining-hall-ashram-road,external_menu_csv,external_gopi_dining_hall,2026-09-21T17:55:48.311016+00:00,100.0,23.03,72.57
R0027,Pakwan Dining Hall,Ahmedabad,Satellite,Casual Dining,Kathiyawadi,4.6,5600.0,₹600 for two,https://www.swiggy.com/city/ahmedabad/pakwan-dining-hall-satellite,external_menu_csv,external_pakwan_dining_hall,2026-09-21T17:55:48.311016+00:00,100.0,23.028,72.525
